iter	Passed	Remaining
627	17742	24636
628	17764	24599
629	17789	24566
630	17815	24534
631	17841	24503
632	17871	24477
633	17898	24447
634	17924	24416
635	17951	24387
636	17980	24360
637	18009	24332
638	18034	24300
639	18059	24267
640	18086	24236
641	18113	24207
642	18146	24185
643	18172	24155
644	18200	24126
645	18225	24094
646	18253	24065
647	18282	24038
648	18311	24010
649	18337	23980
650	18362	23946
651	18389	23917
652	18414	23885
653	18440	23854
654	18466	23823
655	18489	23788
656	18513	23754
657	18536	23719
658	18557	23682
659	18583	23652
660	18607	23618
661	18631	23584
662	18652	23547
663	18676	23514
664	18697	23477
665	18721	23443
666	18742	23406
667	18763	23370
668	18794	23345
669	18816	23310
670	18840	23277
671	18864	23243
672	18887	23209
673	18912	23178
674	18938	23147
675	18965	23117
676	18993	23089
677	19021	23060
678	19050	23034
679	19077	23005
680	19102	22973
681	19128	22942
682	19165	22926
683	19193	22897
684	19220	22867
685	19247	22838
686	19275	22810
687	19302	22781
688	19327	22749
689	19352	22717
690	19376	22685
691	19398	22650
692	19424	22619
693	19449	22588
694	19472	22553
695	19495	22520
696	19519	22487
697	19542	22454
698	19563	22418
699	19586	22384
700	19609	22350
701	19632	22317
702	19657	22285
703	19680	22252
704	19704	22219
705	19725	22184
706	19748	22151
707	19773	22119
708	19794	22084
709	19818	22051
710	19839	22015
711	19859	21979
712	19881	21945
713	19904	21911
714	19927	21878
715	19949	21844
716	19970	21808
717	19992	21774
718	20013	21739
719	20034	21704
720	20057	21671
721	20081	21638
722	20104	21605
723	20127	21572
724	20150	21540
725	20176	21510
726	20202	21481
727	20229	21452
728	20256	21423
729	20283	21394
730	20311	21367
731	20338	21339
732	20367	21312
733	20394	21283
734	20423	21256
735	20451	21229
736	20479	21202
737	20506	21173
738	20533	21145
739	20559	21115
740	20586	21086
741	20610	21055
742	20643	21032
743	20669	21002
744	20694	20972
745	20720	20942
746	20746	20912
747	20775	20886
748	20802	20857
749	20826	20826
750	20852	20796
751	20876	20765
752	20901	20735
753	20925	20703
754	20950	20672
755	20976	20643
756	20999	20611
757	21025	20581
758	21051	20552
759	21077	20522
760	21104	20494
761	21130	20465
762	21157	20436
763	21183	20406
764	21208	20376
765	21233	20346
766	21259	20316
767	21284	20286
768	21312	20259
769	21338	20230
770	21363	20199
771	21390	20171
772	21415	20141
773	21439	20110
774	21462	20077
775	21483	20043
776	21504	20009
777	21526	19977
778	21547	19943
779	21570	19911
780	21594	19880
781	21616	19847
782	21636	19813
783	21657	19779
784	21681	19747
785	21702	19714
786	21724	19682
787	21746	19649
788	21769	19617
789	21792	19585
790	21813	19552
791	21836	19520
792	21858	19487
793	21879	19454
794	21902	19423
795	21924	19390
796	21948	19359
797	21971	19328
798	21992	19295
799	22015	19263
800	22037	19231
801	22060	19199
802	22082	19167
803	22105	19135
804	22127	19104
805	22149	19072
806	22174	19041
807	22198	19011
808	22222	18981
809	22245	18949
810	22271	18921
811	22299	18894
812	22324	18864
813	22348	18834
814	22371	18802
815	22395	18772
816	22422	18744
817	22450	18717
818	22478	18690
819	22506	18664
820	22532	18634
821	22556	18604
822	22582	18575
823	22607	18546
824	22631	18516
825	22653	18484
826	22674	18452
827	22697	18421
828	22720	18390
829	22744	18360
830	22768	18330
831	22796	18302
832	22818	18271
833	22840	18239
834	22862	18207
835	22886	18178
836	22916	18152
837	22940	18122
838	22961	18089
839	22983	18058
840	23009	18029
841	23030	17997
842	23051	17965
843	23073	17934
844	23095	17902
845	23118	17871
846	23141	17840
847	23170	17814
848	23197	17787
849	23223	17758
850	23246	17728
851	23270	17698
852	23296	17670
853	23318	17639
854	23342	17609
855	23364	17578
856	23388	17548
857	23411	17517
858	23433	17486
859	23457	17456
860	23480	17425
861	23501	17394
862	23523	17362
863	23546	17333
864	23569	17302
865	23594	17273
866	23635	17256
867	23661	17228
868	23685	17198
869	23709	17168
870	23732	17138
871	23754	17107
872	23776	17076
873	23799	17046
874	23822	17016
875	23844	16985
876	23865	16953
877	23888	16923
878	23910	16892
879	23932	16861
880	23955	16831
881	23978	16801
882	24003	16772
883	24027	16743
884	24051	16713
885	24078	16686
886	24102	16657
887	24123	16625
888	24144	16594
889	24167	16564
890	24188	16533
891	24211	16502
892	24239	16476
893	24260	16444
894	24282	16414
895	24307	16385
896	24328	16354
897	24351	16324
898	24375	16295
899	24400	16266
900	24423	16237
901	24447	16207
902	24471	16178
903	24494	16149
904	24518	16119
905	24540	16089
906	24563	16059
907	24585	16029
908	24611	16001
909	24634	15971
910	24657	15942
911	24679	15911
912	24703	15882
913	24727	15853
914	24750	15823
915	24775	15795
916	24797	15765
917	24819	15735
918	24842	15705
919	24864	15675
920	24886	15645
921	24908	15615
922	24934	15587
923	24959	15559
924	24984	15531
925	25009	15502
926	25035	15474
927	25064	15449
928	25087	15419
929	25109	15389
930	25131	15359
931	25153	15329
932	25175	15299
933	25199	15270
934	25222	15241
935	25246	15212
936	25269	15183
937	25295	15155
938	25320	15127
939	25343	15098
940	25367	15069
941	25389	15039
942	25412	15010
943	25436	14981
944	25459	14952
945	25480	14922
946	25504	14893
947	25527	14863
948	25552	14836
949	25575	14807
950	25597	14777
951	25620	14748
952	25642	14718
953	25665	14689
954	25688	14659
955	25712	14631
956	25736	14602
957	25759	14573
958	25783	14545
959	25807	14516
960	25829	14487
961	25853	14458
962	25875	14429
963	25900	14400
964	25923	14372
965	25947	14343
966	25970	14314
967	25993	14285
968	26020	14258
969	26048	14232
970	26079	14207
971	26107	14182
972	26134	14155
973	26157	14126
974	26184	14099
975	26209	14071
976	26243	14048
977	26282	14028
978	26321	14007
979	26367	13990
980	26398	13966
981	26423	13938
982	26451	13911
983	26484	13888
984	26508	13859
985	26529	13829
986	26553	13801
987	26577	13772
988	26601	13744
989	26627	13717
990	26652	13689
991	26676	13660
992	26700	13632
993	26724	13604
994	26748	13575
995	26771	13546
996	26795	13518
997	26819	13490
998	26844	13462
999	26869	13434
1000	26894	13406
1001	26921	13380
1002	26944	13351
1003	26967	13322
1004	26992	13294
1005	27014	13265
1006	27036	13236
1007	27057	13206
1008	27080	13177
1009	27102	13148
1010	27124	13119
1011	27146	13090
1012	27167	13060
1013	27191	13032
1014	27218	13005
1015	27244	12978
1016	27268	12950
1017	27295	12923
1018	27319	12895
1019	27345	12868
1020	27368	12840
1021	27392	12811
1022	27419	12784
1023	27442	12756
1024	27468	12729
1025	27496	12703
1026	27524	12677
1027	27556	12652
1028	27589	12628
1029	27625	12605
1030	27653	12579
1031	27681	12553
1032	27708	12526
1033	27736	12500
1034	27763	12473
1035	27788	12445
1036	27814	12418
1037	27837	12390
1038	27862	12362
1039	27888	12335
1040	27913	12307
1041	27938	12279
1042	27963	12252
1043	27991	12226
1044	28015	12198
1045	28039	12170
1046	28066	12143
1047	28092	12116
1048	28115	12087
1049	28140	12060
1050	28161	12030
1051	28186	12003
1052	28210	11975
1053	28234	11947
1054	28258	11919
1055	28283	11892
1056	28304	11862
1057	28326	11834
1058	28347	11804
1059	28370	11776
1060	28394	11748
1061	28417	11720
1062	28440	11691
1063	28465	11664
1064	28493	11638
1065	28521	11611
1066	28546	11584
1067	28571	11556
1068	28600	11531
1069	28626	11503
1070	28650	11476
1071	28675	11448
1072	28697	11420
1073	28721	11392
1074	28747	11365
1075	28772	11337
1076	28798	11310
1077	28823	11283
1078	28848	11255
1079	28873	11228
1080	28896	11200
1081	28918	11172
1082	28942	11144
1083	28966	11116
1084	28988	11087
1085	29009	11058
1086	29030	11030
1087	29048	10999
1088	29071	10972
1089	29094	10943
1090	29118	10916
1091	29141	10888
1092	29164	10860
1093	29187	10831
1094	29210	10803
1095	29234	10776
1096	29259	10748
1097	29287	10722
1098	29313	10695
1099	29336	10667
1100	29360	10640
1101	29385	10613
1102	29408	10585
1103	29434	10557
1104	29457	10530
1105	29482	10502
1106	29506	10475
1107	29529	10447
1108	29551	10418
1109	29573	10390
1110	29598	10363
1111	29621	10335
1112	29642	10306
1113	29665	10279
1114	29687	10250
1115	29709	10222
1116	29734	10195
1117	29758	10167
1118	29780	10139
1119	29801	10111
1120	29825	10083
1121	29849	10056
1122	29873	10028
1123	29895	10000
1124	29918	9972
1125	29939	9944
1126	29962	9916
1127	29985	9888
1128	30008	9860
1129	30032	9833
1130	30056	9806
1131	30080	9778
